code,title,description
11,"Agriculture, Forestry, Fishing and Hunting","The Agriculture, Forestry, Fishing and Hunting sector comprises establishments primarily engaged in growing crops, raising animals, harvesting timber, and harvesting fish and other animals from a farm, ranch, or their natural habitats. The establishments in this sector are often described as farms, ranches, dairies, greenhouses, nurseries, orchards, or hatcheries.  A farm may consist of a single tract of land or a number of separate tracts which may be held under different tenures."
111,Crop Production,"Industries in the Crop Production subsector grow crops mainly for food and fiber.  The subsector comprises establishments, such as farms, orchards, groves, greenhouses, and nurseries, primarily engaged in growing crops, plants, vines, or trees and their seeds."
1111,Oilseed and Grain Farming,This industry group comprises establishments primarily engaged in (1) growing oilseed and/or grain crops and/or (2) producing oilseed and grain seeds.  These crops have an annual life cycle and are typically grown in open fields.
11111,Soybean Farming,
111110,Soybean Farming,This industry comprises establishments primarily engaged in growing soybeans and/or producing soybean seeds.
11112,Oilseed (except Soybean) Farming,
111120,Oilseed (except Soybean) Farming,"This industry comprises establishments primarily engaged in growing fibrous oilseed producing plants and/or producing oilseed seeds, such as sunflower, safflower, flax, rape, canola, and sesame."
11113,Dry Pea and Bean Farming,
111130,Dry Pea and Bean Farming,"This industry comprises establishments primarily engaged in growing dry peas, beans, and/or lentils."
11114,Wheat Farming,
111140,Wheat Farming,This industry comprises establishments primarily engaged in growing wheat and/or producing wheat seeds.
11115,Corn Farming,
111150,Corn Farming,This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing corn seeds.
11116,Rice Farming,
111160,Rice Farming,This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice seeds.
11119,Other Grain Farming,"This industry comprises establishments primarily engaged in (1) growing grain(s) and/or producing grain seeds (except wheat, corn, and rice) or (2) growing a combination of grain(s) and oilseed(s) with no one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)."
111191,Oilseed and Grain Combination Farming,This U.S. industry comprises establishments engaged in growing a combination of oilseed(s) and grain(s) with no one oilseed (or family of oilseeds) or grain (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market).  These establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).
111199,All Other Grain Farming,"This U.S. industry comprises establishments primarily engaged in growing grains and/or producing grain(s) seeds (except wheat, corn, rice, and oilseed(s) and grain(s) combinations)."
1112,Vegetable and Melon Farming,
11121,Vegetable and Melon Farming,This industry comprises establishments primarily engaged in one or more of the following: (1) growing vegetable and/or melon crops; (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.  The crops included in this industry have an annual growth cycle and are grown in open fields.  Climate and cultural practices limit producing areas but often permit the growing of a combination of crops in a year.
111211,Potato Farming,This U.S. industry comprises establishments primarily engaged in growing potatoes and/or producing seed potatoes.
111219,Other Vegetable (except Potato) and Melon Farming,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) growing melons and/or vegetables (except potatoes; dry peas; dry beans; field, silage, or seed corn; and sugar beets); (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants."
1113,Fruit and Tree Nut Farming,This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops.  The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
11131,Orange Groves,
111310,Orange Groves,This industry comprises establishments primarily engaged in growing oranges.
11132,Citrus (except Orange) Groves,
111320,Citrus (except Orange) Groves,This industry comprises establishments primarily engaged in growing citrus fruits (except oranges).
11133,Noncitrus Fruit and Tree Nut Farming,"This industry comprises establishments primarily engaged in one or more of the following: (1) growing noncitrus fruits (e.g., apples, grapes, berries, peaches); (2) growing tree nuts (e.g., pecans, almonds, pistachios); or (3) growing a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)."
111331,Apple Orchards,This U.S. industry comprises establishments primarily engaged in growing apples.
111332,Grape Vineyards,This U.S. industry comprises establishments primarily engaged in growing grapes and/or growing grapes to sun dry into raisins.
111333,Strawberry Farming,This U.S. industry comprises establishments primarily engaged in growing strawberries.
111334,Berry (except Strawberry) Farming,This U.S. industry comprises establishments primarily engaged in growing berries.
111335,Tree Nut Farming,This U.S. industry comprises establishments primarily engaged in growing tree nuts.
111336,Fruit and Tree Nut Combination Farming,"This U.S. industry comprises establishments primarily engaged in growing a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)."
111339,Other Noncitrus Fruit Farming,"This U.S. industry comprises establishments primarily engaged in growing noncitrus fruits (except apples, grapes, berries, and fruit(s) and tree nut(s) combinations)."
1114,"Greenhouse, Nursery, and Floriculture Production","This industry group comprises establishments primarily engaged in growing crops of any kind under cover and/or growing nursery stock and flowers.  ""Under cover"" is generally defined as greenhouses, cold frames, cloth houses, and lath houses.  The crops grown are removed at various stages of maturity and have annual and perennial life cycles.  The nursery stock includes short rotation woody crops that have growth cycles of 10 years or less."
11141,Food Crops Grown Under Cover,"This industry comprises establishments primarily engaged in growing food crops (e.g., fruits, melons, tomatoes) under glass or protective cover."
111411,Mushroom Production,"This U.S. industry comprises establishments primarily engaged in growing mushrooms under cover in mines underground, or in other controlled environments."
111419,Other Food Crops Grown Under Cover,This U.S. industry comprises establishments primarily engaged in growing food crops (except mushrooms) under glass or protective cover.
11142,Nursery and Floriculture Production,"This industry comprises establishments primarily engaged in (1) growing nursery and floriculture products (e.g., nursery stock, shrubbery, cut flowers, flower seeds, foliage plants) under cover or in open fields and/or (2) growing short rotation woody trees with a growing and harvesting cycle of 10 years or less for pulp or tree stock (e.g., cut Christmas trees, cottonwoods)."
111421,Nursery and Tree Production,"This U.S. industry comprises establishments primarily engaged in (1) growing nursery products, nursery stock, shrubbery, bulbs, fruit stock, sod, and so forth, under cover or in open fields and/or (2) growing short rotation woody trees with a growth and harvest cycle of 10 years or less for pulp or tree stock."
111422,Floriculture Production,"This U.S. industry comprises establishments primarily engaged in growing and/or producing floriculture products (e.g., cut flowers and roses, cut cultivated greens, potted flowering and foliage plants, and flower seeds) under cover and in open fields."
1119,Other Crop Farming,"This industry group comprises establishments primarily engaged in (1) growing crops (except oilseed and/or grain; vegetable and/or melon; fruit and tree nut; and greenhouse, nursery, and/or floriculture products), such as tobacco, cotton, sugarcane, hay, sugar beets, peanuts, agave, herbs and spices, and hay and grass seeds, or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s) and a combination of fruit(s) and tree nut(s))."
11191,Tobacco Farming,
111910,Tobacco Farming,This industry comprises establishments primarily engaged in growing tobacco.
11192,Cotton Farming,
111920,Cotton Farming,This industry comprises establishments primarily engaged in growing cotton.
11193,Sugarcane Farming,
111930,Sugarcane Farming,This industry comprises establishments primarily engaged in growing sugarcane.
11194,Hay Farming,
111940,Hay Farming,"This industry comprises establishments primarily engaged in growing hay, alfalfa, clover, and/or mixed hay."
11199,All Other Crop Farming,"This industry comprises establishments primarily engaged in (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; or hay) or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e."
111991,Sugar Beet Farming,This U.S. industry comprises establishments primarily engaged in growing sugar beets.
111992,Peanut Farming,This U.S. industry comprises establishments primarily engaged in growing peanuts.
111998,All Other Miscellaneous Crop Farming,"This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the est..."
112,Animal Production and Aquaculture,"Industries in the Animal Production and Aquaculture subsector raise or fatten animals for the sale of animals or animal products and/or raise aquatic plants and animals in controlled or selected aquatic environments for the sale of aquatic plants, animals, or their products.  The subsector includes establishments, such as ranches, farms, and feedlots, primarily engaged in keeping, grazing, breeding, or feeding animals.  These animals are kept for the products they produce or for eventual sale."
1121,Cattle Ranching and Farming,"This industry group comprises establishments primarily engaged in raising cattle, milking dairy cattle, or feeding cattle for fattening."
11211,"Beef Cattle Ranching and Farming, including Feedlots","This industry comprises establishments primarily engaged in raising cattle (including cattle for dairy herd replacements), or feeding cattle for fattening."
112111,Beef Cattle Ranching and Farming,This U.S. industry comprises establishments primarily engaged in raising cattle (including cattle for dairy herd replacements).
112112,Cattle Feedlots,This U.S. industry comprises establishments primarily engaged in feeding cattle for fattening.
11212,Dairy Cattle and Milk Production,
112120,Dairy Cattle and Milk Production,This industry comprises establishments primarily engaged in milking dairy cattle.
11213,Dual-Purpose Cattle Ranching and Farming,
112130,Dual-Purpose Cattle Ranching and Farming,This industry comprises establishments primarily engaged in raising cattle for both milking and meat production.
1122,Hog and Pig Farming,
11221,Hog and Pig Farming,
112210,Hog and Pig Farming,"This industry comprises establishments primarily engaged in raising hogs and pigs.  These establishments may include farming activities, such as breeding, farrowing, and the raising of weanling pigs, feeder pigs, or market size hogs."
1123,Poultry and Egg Production,"This industry group comprises establishments primarily engaged in breeding, hatching, and raising poultry for meat or egg production."
11231,Chicken Egg Production,
